id;name;country;logo
1;Lucasfilm Ltd.;US;https://image.tmdb.org/t/p/original/o86DbpburjxrqAzEDhXZcyE8pDb.png
2;Walt Disney Pictures;US;https://image.tmdb.org/t/p/original/wdrCwmRnLFJhEoH8GSfymY85KHT.png
3;Pixar;US;https://image.tmdb.org/t/p/original/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png
4;Paramount;US;https://image.tmdb.org/t/p/original/fycMZt242LVjagMByZOLUGbCvv3.png
5;Columbia Pictures;US;https://image.tmdb.org/t/p/original/71BqEFAF4V3qjjMPCpLuyJFB9A.png
6;RKO Radio Pictures;US;https://image.tmdb.org/t/p/original/n53F7K9scQWFXYbrCablqLKqJdp.png
7;DreamWorks Pictures;US;https://image.tmdb.org/t/p/original/vru2SssLX3FPhnKZGtYw00pVIS9.png
9;Gaumont;FR;https://image.tmdb.org/t/p/original/nda3dTUYdDrJ6rZqBpYvY865aDv.png
11;WingNut Films;NZ;https://image.tmdb.org/t/p/original/6FAuASQHybRkZUk08p9PzSs9ezM.png
12;New Line Cinema;US;https://image.tmdb.org/t/p/original/iaYpEp3LQmb8AfAtmTvpqd4149c.png
14;Miramax;US;https://image.tmdb.org/t/p/original/m6AHu84oZQxvq7n1rsvMNJIAsMu.png
17;Warner Bros. Entertainment;US;https://image.tmdb.org/t/p/original/s1y7CTv6YHe87YUGOq6SRB6DmO7.png
21;Metro-Goldwyn-Mayer;US;https://image.tmdb.org/t/p/original/mjofSXiHpG5t6KYmU4l4FrUhT7m.png
23;Imagine Entertainment;US;https://image.tmdb.org/t/p/original/mkxNjThahj5pvntvYKVpMbWXm3D.png
25;20th Century Fox;US;https://image.tmdb.org/t/p/original/qZCc1lty5FzX30aOCVRBLzaVmcp.png
33;Universal Pictures;US;https://image.tmdb.org/t/p/original/8lvHyhjr8oUKOOy2dKXoALWKdp0.png
34;Sony Pictures;US;https://image.tmdb.org/t/p/original/GagSvqWlyPdkFHMfQ3pNq6ix9P.png
37;Gramercy Pictures;US;https://image.tmdb.org/t/p/original/24D25UH5SyteudhPXW6Oy0Qfj1q.png
47;Constantin Film;DE;https://image.tmdb.org/t/p/original/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png
56;Amblin Entertainment;US;https://image.tmdb.org/t/p/original/cEaxANEisCqeEoRvODv2dO1I0iI.png
70;American Zoetrope;US;https://image.tmdb.org/t/p/original/ueaENQkPcy8rlr5fGZVBXKOhlBh.png
79;Village Roadshow Pictures;US;https://image.tmdb.org/t/p/original/tpFpsqbleCzEE2p5EgvUq6ozfCA.png
80;The Zanuck Company;US;https://image.tmdb.org/t/p/original
81;Plan B Entertainment;US;https://image.tmdb.org/t/p/original/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png
97;Castle Rock Entertainment;US;https://image.tmdb.org/t/p/original/7znWcbDd4PcJzJUlJxYqAlPPykp.png
104;Canal+;FR;https://image.tmdb.org/t/p/original/9aotxauvc9685tq9pTcRJszuT06.png
126;Lakeshore Entertainment;US;https://image.tmdb.org/t/p/original/kADPanRDkKTxncPXXVahvHPUvCj.png
130;Jerry Bruckheimer Films;US;https://image.tmdb.org/t/p/original/c9dVHPOL3cqCr2593Ahk0nEKTEM.png
161;Claussen+Wöbke Filmproduktion;DE;https://image.tmdb.org/t/p/original
171;Malpaso Productions;US;https://image.tmdb.org/t/p/original
172;NPV Entertainment;US;https://image.tmdb.org/t/p/original
174;Warner Bros. Pictures;US;https://image.tmdb.org/t/p/original/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png
208;Bac Films;FR;https://image.tmdb.org/t/p/original/bxQYlRhQu6nbohBEL0SWz8xIAGy.png
216;Jersey Films;;https://image.tmdb.org/t/p/original
230;Boje Buck Produktion;;https://image.tmdb.org/t/p/original
240;Bazmark Films;;https://image.tmdb.org/t/p/original
258;Scott Rudin Productions;US;https://image.tmdb.org/t/p/original
290;Ingenious Media;GB;https://image.tmdb.org/t/p/original/Q8mw2AOQQc8Qg0uNwLWq86DVZv.png
297;Aardman Animations;GB;https://image.tmdb.org/t/p/original/ykJbf1z5qIreJrHWfnh1ev1alkD.png
308;The Weinstein Company;US;https://image.tmdb.org/t/p/original/e8F3mQM7DkJ5SfYYDp8FYzPBOGX.png
310;Centre national du cinéma et de l'image animée;FR;https://image.tmdb.org/t/p/original/4Gp5A4YdjPBfsHT47ngHMaXWmb9.png
318;CTB Film Company;RU;https://image.tmdb.org/t/p/original/q0UG4oZERwIywJdDPF4lRlvdYGW.png
333;Original Film;US;https://image.tmdb.org/t/p/original/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png
342;Davis Films;FR;https://image.tmdb.org/t/p/original
356;TF1 Films Production;FR;https://image.tmdb.org/t/p/original/9tW5wZEGotn1Ei5pErA88m47XiD.png
415;Laurence Mark Productions;US;https://image.tmdb.org/t/p/original
416;Python (Monty) Pictures Limited;;https://image.tmdb.org/t/p/original
420;Marvel Studios;US;https://image.tmdb.org/t/p/original/hUzeosd33nzE5MCNsZxCGEKTXaQ.png
423;Phantom Four;US;https://image.tmdb.org/t/p/original/uvA6e2O31qaonsbYd8tjvgqmNXh.png
429;DC Comics;US;https://image.tmdb.org/t/p/original/2Tc1P3Ac8M479naPp1kYT3izLS5.png
433;Weed Road Pictures;US;https://image.tmdb.org/t/p/original
436;1492 Pictures;US;https://image.tmdb.org/t/p/original/A7WCkG3F0NFvjGCwUnclpGdIu9E.png
437;Heyday Films;GB;https://image.tmdb.org/t/p/original/nu20mtwbEIhUNnQ5NXVhHsNknZj.png
444;Dune Entertainment;US;https://image.tmdb.org/t/p/original/42UPdZl6B2cFXgNUASR8hSt9mpS.png
463;Michael White Productions;GB;https://image.tmdb.org/t/p/original
464;National Film Trustee Company;GB;https://image.tmdb.org/t/p/original
491;Summit Entertainment;US;https://image.tmdb.org/t/p/original/rUp0lLKa1pr4UsPm8fgzmnNGxtq.png
497;Revolution Studios;US;https://image.tmdb.org/t/p/original/pMyhOBd3sCiLzBlmIopdJkcUFtn.png
500;Goldcrest;GB;https://image.tmdb.org/t/p/original
507;Atlas Entertainment;US;https://image.tmdb.org/t/p/original/z7H707qUWigbjHnJDMfj6QITEpb.png
508;Regency Enterprises;US;https://image.tmdb.org/t/p/original/7PzJdsLGlR7oW4J0J5Xcd0pHGRg.png
520;Pacific Data Images;US;https://image.tmdb.org/t/p/original/pU7YTI9FfrICurXpl5V9TfCO0oJ.png
521;DreamWorks Animation;US;https://image.tmdb.org/t/p/original/kP7t6RwGz2AvvTkvnI1uteEwHet.png
554;Silver Screen Partners III;;https://image.tmdb.org/t/p/original
559;TriStar Pictures;US;https://image.tmdb.org/t/p/original/eC0bWHVjnjUducyA6YFoEFqnPMC.png
564;Industrial Development Corporation of South Africa;;https://image.tmdb.org/t/p/original
574;Lightstorm Entertainment;US;https://image.tmdb.org/t/p/original/iB6GjNVHs5hOqcEYt2rcjBqIjki.png
591;France 3 Cinéma;FR;https://image.tmdb.org/t/p/original/q5I5RDwMEiqoNmfaJgd2LraEOJY.png
